phenotype,Allelotype_pair,estimate_add1,se_add1,z_add1,p_add1,estimate_add2,se_add2,z_add2,p_add2,estimate_int,se_int,z_int,p_int,adj_p_add1,adj_p_add2,adj_p_int
HC151,B_1801-DRB1_701,0.4039233,0.0895459,4.511,6.46E-06,-0.2980891,0.0614253,-4.853,1.22E-06,0.2265073,0.2112981,1.072,0.2837,7.45E-05,3.15E-05,1
HC151,B_1801-B_4402,0.4165,0.086218,4.831,1.36E-06,-0.333285,0.070025,-4.76,1.94E-06,0.079586,0.288619,0.276,0.7827,1.63E-05,4.72E-05,1
HC151,B_1801-DQA1_201,0.4048543,0.0895492,4.521,6.15E-06,-0.2825915,0.0609721,-4.635,3.57E-06,0.2067084,0.2112109,0.979,0.3277,7.10E-05,8.08E-05,1
HC151,B_1801-DQA1_101,4.37E-01,9.02E-02,4.845,1.26E-06,-2.70E-01,6.17E-02,-4.372,1.23E-05,7.70E-02,1.99E-01,0.387,0.698,1.51E-05,0.000241713,1
HC151,B_1801-DQA1_103,4.66E-01,8.37E-02,5.568,2.58E-08,-4.35E-01,1.05E-01,-4.139,3.48E-05,-1.79E-01,3.93E-01,-0.455,0.6488,3.45E-07,0.000605754,1
HC151,B_1801-C_304,4.32E-01,8.50E-02,5.075,3.87E-07,-3.40E-01,8.29E-02,-4.1,4.13E-05,1.31E-01,3.37E-01,0.387,0.6986,4.79E-06,0.000705772,1
HC151,B_1801-DRB1_1301,0.475254,0.0832614,5.708,1.14E-08,-0.4018952,0.1080149,-3.721,0.000199,-0.4644002,0.4591671,-1.011,0.311827,1.55E-07,0.002936068,1
HC151,B_1801-B_2705,0.4682094,0.0822936,5.689,1.27E-08,-0.4620437,0.1240532,-3.725,0.000196,-1.3415823,1.0112398,-1.327,0.184618,1.73E-07,0.00289599,1
HC151,B_1801-DQB1_603,4.93E-01,8.33E-02,5.924,3.15E-09,-3.86E-01,1.08E-01,-3.575,0.00035,-5.22E-01,4.60E-01,-1.135,0.25632,4.42E-08,0.004990845,1
HC151,B_1801-C_102,0.4496598,0.0827567,5.434,5.53E-08,-0.5171833,0.1353066,-3.822,0.000132,-0.0157774,0.5993485,-0.026,0.978999,7.24E-07,0.002012857,1
HC151,B_1801-DRB1_1303,0.4677014,0.0827149,5.654,1.56E-08,0.6106764,0.1599662,3.818,0.000135,0.1420826,0.6015037,0.236,0.813268,2.11E-07,0.002055255,1
HC151,B_1801-DRB3_9901,0.5876006,0.16447,3.573,0.000353,0.1931731,0.043164,4.475,7.63E-06,-0.0756873,0.1209476,-0.626,0.531456,0.003795579,0.000157811,1
HC151,A_301-DQB1_302,0.2758579,0.0516532,5.341,9.26E-08,-0.3166196,0.0827193,-3.828,0.000129,-0.1157084,0.1371278,-0.844,0.398781,1.20E-06,0.001969785,1
HC151,A_301-DRB1_701,0.22347,0.053625,4.167,3.08E-05,-0.319928,0.069397,-4.61,4.02E-06,0.121092,0.113909,1.063,0.2878,0.000343471,8.96E-05,1
HC151,A_301-B_4402,0.266903,0.050989,5.235,1.65E-07,-0.262314,0.075657,-3.467,0.000526,-0.246912,0.158592,-1.557,0.119495,2.09E-06,0.007301218,1
HC151,A_301-DQA1_201,0.227361,0.053575,4.244,2.20E-05,-0.301938,0.068874,-4.384,1.17E-05,0.108434,0.113326,0.957,0.3387,0.000247029,0.000231299,1
HC151,A_301-DQA1_101,0.3461877,0.0540997,6.399,1.56E-10,-0.1928882,0.0705452,-2.734,0.00625,-0.2640636,0.108697,-2.429,0.01513,2.35E-09,0.07726216,1
HC151,A_301-DQA1_103,0.2755416,0.0497115,5.543,2.98E-08,-0.3833035,0.116279,-3.296,0.000979,-0.2417315,0.2101549,-1.15,0.250039,3.97E-07,0.013118936,1
HC151,A_301-C_304,0.2594748,0.0509657,5.091,3.56E-07,-0.3222199,0.0934129,-3.449,0.000562,-0.0575859,0.1595834,-0.361,0.71821,4.42E-06,0.007755868,1
HC151,A_301-DRB1_1301,0.277405,0.049563,5.597,2.18E-08,-0.360879,0.120308,-3,0.0027,-0.268276,0.218169,-1.23,0.2188,2.93E-07,0.03453278,1
HC151,A_301-B_2705,0.260667,0.049501,5.266,1.40E-07,-0.503249,0.144739,-3.477,0.000507,-0.037995,0.235666,-0.161,0.871918,1.79E-06,0.007050557,1
HC151,A_301-DQB1_603,0.2671434,0.0500619,5.336,9.49E-08,-0.3537593,0.1203124,-2.94,0.00328,-0.2546722,0.2180638,-1.168,0.24286,1.23E-06,0.041590961,1
