GBE_ID	ALL_ID	BETA	SE	Z_STAT	P	AIC	BY_ADJ_P
HC1158	B_4402	0.0662309607627152	0.0129749440053755	5.1045276754393605	3.3162174206830396e-07	210747.607164713	0.00047208492479174546
HC303	DRB3_301	-0.503046583665647	0.0985690274623837	-5.10349545507712	3.3343652427078e-07	27315.562158492998	0.0004742052931237129
HC645	B_3906	0.510841495242872	0.10011209726979901	5.102694970680389	3.34850480001861e-07	47793.8497432333	0.00047575203815166035
HC1102	DQB1_501	0.17119583022742998	0.0335661690033042	5.100249307884309	3.3920638596317895e-07	40976.769351282404	0.00048147159294323257
HC382	C_1601	0.0862421892721426	0.0169349375397402	5.09256022171697	3.53260454133947e-07	264513.989950908	0.0005009322595197737
HC497	DRB4_101	-0.47580097090538004	0.0934349092383608	-5.092325500007379	3.5369819745556997e-07	15881.1547858451	0.0005010655727500226
HC430	DQA1_101	0.125381061646447	0.0246247647155991	5.09166536592413	3.5493212055464504e-07	61701.4582640584	0.0005023254379440939
HC96	DRB5_101	-0.260616456456426	0.0512043320106622	-5.089734524847589	3.58565146183215e-07	21850.8220475991	0.0005069749481494157
HC38	DRB5_101	-0.14518285699055403	0.0285421191586788	-5.08661799719271	3.6450497252378797e-07	56558.8497028521	0.0005148738707461209
HC38	DQA1_301	-0.12586022373469802	0.0247486787492525	-5.08553305046638	3.66594983240545e-07	56386.693894494696	0.000517324787936053
HC303	C_1601	0.318043086363863	0.0625546464073026	5.0842440111169	3.6909318828442e-07	27317.061632215802	0.0005203464355739776
HC95	DRB4_103	-0.136164564194586	0.0267954396894842	-5.0816320154665595	3.7420580519253603e-07	43601.701712568196	0.0005270444728919496
HC900	B_2705	0.147110715389403	0.0289620151001268	5.079436457747	3.7855611135497605e-07	121472.27536227599	0.0005326569510206855
HC1106	DQA1_301	0.0525798321301386	0.0103522423209593	5.07907663866066	3.7927370048650704e-07	202778.450974581	0.0005331520274485352
HC1094	DQB1_201	-0.08018160944752001	0.0157882730697142	-5.0785547661528705	3.80316806755129e-07	122915.275284334	0.0005335892394302096
HC269	DQA1_101	0.0528021628837812	0.0103970030292176	5.07859454646662	3.8023719744101e-07	247706.836914995	0.0005335892394302096
HC1149	DRB1_301	-0.129855660837802	0.0255754177538613	-5.07736225806894	3.8271076477477e-07	66006.5191221109	0.0005364316963448187
